Gene	Gene description	Concentration
CFI	Complement factor I	12 mg/L
IGKV1-6	Immunoglobulin kappa variable 1-6	12 mg/L
IGKV1D-12	Immunoglobulin kappa variable 1D-12	12 mg/L
SAA1	Serum amyloid A1	11 mg/L
IGKV3D-20	Immunoglobulin kappa variable 3D-20	11 mg/L
CD14	CD14 molecule	10 mg/L
IGKV1-16	Immunoglobulin kappa variable 1-16	10 mg/L
HBB	Hemoglobin subunit beta	10 mg/L
KRT2	Keratin 2	9.7 mg/L
IGHV3-72	Immunoglobulin heavy variable 3-72	9.6 mg/L
BCHE	Butyrylcholinesterase	9.4 mg/L
HGFAC	HGF activator	9.3 mg/L
C6	Complement C6	9.2 mg/L
APOL1	Apolipoprotein L1	9.2 mg/L
SAA2	Serum amyloid A2	9.2 mg/L
SHBG	Sex hormone binding globulin	9.1 mg/L
ITIH3	Inter-alpha-trypsin inhibitor heavy chain 3	9.1 mg/L
IGKV1D-16	Immunoglobulin kappa variable 1D-16	9.0 mg/L
AFM	Afamin	8.7 mg/L
ECM1	Extracellular matrix protein 1	8.7 mg/L
CPB2	Carboxypeptidase B2	8.5 mg/L
IGKV4-1	Immunoglobulin kappa variable 4-1	8.5 mg/L
IGHV3-30	Immunoglobulin heavy variable 3-30	8.5 mg/L
IGKV1-17	Immunoglobulin kappa variable 1-17	8.4 mg/L
IGKV1-5	Immunoglobulin kappa variable 1-5	8.4 mg/L
IGKV1-27	Immunoglobulin kappa variable 1-27	8.3 mg/L
F9	Coagulation factor IX	8.2 mg/L
APOM	Apolipoprotein M	8.2 mg/L
IGKV1-39	Immunoglobulin kappa variable 1-39	8.0 mg/L
IGHV3-33	Immunoglobulin heavy variable 3-33	7.5 mg/L
IGHV3-66	Immunoglobulin heavy variable 3-66	7.2 mg/L
IGKV3-15	Immunoglobulin kappa variable 3-15	7.2 mg/L
LGALS3BP	Galectin 3 binding protein	7.1 mg/L
F12	Coagulation factor XII	7.0 mg/L
IGKV2-30	Immunoglobulin kappa variable 2-30	6.8 mg/L
C8B	Complement C8 beta chain	6.7 mg/L
IGKV3D-11	Immunoglobulin kappa variable 3D-11	6.7 mg/L
IGKV1D-37	Immunoglobulin kappa variable 1D-37 (non-functional)	6.7 mg/L
HBD	Hemoglobin subunit delta	6.6 mg/L
C8A	Complement C8 alpha chain	6.4 mg/L
LCAT	Lecithin-cholesterol acyltransferase	6.4 mg/L
CFP	Complement factor properdin	6.2 mg/L
GPX3	Glutathione peroxidase 3	6.2 mg/L
IGKV1-8	Immunoglobulin kappa variable 1-8	6.1 mg/L
ACTB	Actin beta	5.8 mg/L
CHL1	Cell adhesion molecule L1 like	5.8 mg/L
VWF	Von Willebrand factor	5.6 mg/L
IGHV4-59	Immunoglobulin heavy variable 4-59	5.5 mg/L
KLKB1	Kallikrein B1	5.3 mg/L
PROC	Protein C, inactivator of coagulation factors Va and VIIIa	5.2 mg/L
CRP	C-reactive protein	5.2 mg/L
PROS1	Protein S	5.0 mg/L
IGHV4-39	Immunoglobulin heavy variable 4-39	5.0 mg/L
ACTG1	Actin gamma 1	4.9 mg/L
IGKV1D-33	Immunoglobulin kappa variable 1D-33	4.9 mg/L
CFHR2	Complement factor H related 2	4.8 mg/L
IGKV3D-15	Immunoglobulin kappa variable 3D-15	4.8 mg/L
SERPINA10	Serpin family A member 10	4.7 mg/L
F13B	Coagulation factor XIII B chain	4.7 mg/L
SELL	Selectin L	4.7 mg/L
IGLV3-21	Immunoglobulin lambda variable 3-21	4.7 mg/L
IGHV1-18	Immunoglobulin heavy variable 1-18	4.7 mg/L
CA1	Carbonic anhydrase 1	4.6 mg/L
KRT6A	Keratin 6A	4.5 mg/L
IGKV1-9	Immunoglobulin kappa variable 1-9	4.5 mg/L
F11	Coagulation factor XI	4.4 mg/L
HABP2	Hyaluronan binding protein 2	4.4 mg/L
CFD	Complement factor D	4.4 mg/L
IGHV4-61	Immunoglobulin heavy variable 4-61	4.4 mg/L
CD5L	CD5 molecule like	4.3 mg/L
PRG4	Proteoglycan 4	4.3 mg/L
IGLV3-1	Immunoglobulin lambda variable 3-1	4.3 mg/L
IGHV4-34	Immunoglobulin heavy variable 4-34	4.3 mg/L
IGHV3-53	Immunoglobulin heavy variable 3-53	4.3 mg/L
IGHV3-64	Immunoglobulin heavy variable 3-64	4.3 mg/L
IGLV1-44	Immunoglobulin lambda variable 1-44	4.0 mg/L
IGHV1-2	Immunoglobulin heavy variable 1-2	4.0 mg/L
IGHV3-43	Immunoglobulin heavy variable 3-43	4.0 mg/L
IGHV4-4	Immunoglobulin heavy variable 4-4	3.8 mg/L
IGKV3D-7	Immunoglobulin kappa variable 3D-7	3.7 mg/L
FETUB	Fetuin B	3.6 mg/L
IGFBP3	Insulin like growth factor binding protein 3	3.6 mg/L
KRT5	Keratin 5	3.6 mg/L
IGKV2D-28	Immunoglobulin kappa variable 2D-28	3.5 mg/L
LYVE1	Lymphatic vessel endothelial hyaluronan receptor 1	3.3 mg/L
IGLV3-25	Immunoglobulin lambda variable 3-25	3.2 mg/L
IGHV3-16	Immunoglobulin heavy variable 3-16 (non-functional)	3.2 mg/L
IGHV3-73	Immunoglobulin heavy variable 3-73	3.2 mg/L
GPLD1	Glycosylphosphatidylinositol specific phospholipase D1	3.1 mg/L
CFHR3	Complement factor H related 3	3.1 mg/L
IGHV1-24	Immunoglobulin heavy variable 1-24	3.1 mg/L
ANXA1	Annexin A1	3.0 mg/L
IGLV1-47	Immunoglobulin lambda variable 1-47	3.0 mg/L
PPBP	Pro-platelet basic protein	2.9 mg/L
PI16	Peptidase inhibitor 16	2.9 mg/L
IGHV3-38	Immunoglobulin heavy variable 3-38 (non-functional)	2.9 mg/L
IGHV1-46	Immunoglobulin heavy variable 1-46	2.9 mg/L
CST3	Cystatin C	2.8 mg/L
ACTA1	Actin alpha 1, skeletal muscle	2.8 mg/L
BTD	Biotinidase	2.8 mg/L
C8G	Complement C8 gamma chain	2.8 mg/L
C1QA	Complement C1q A chain	2.7 mg/L
IGHV5-51	Immunoglobulin heavy variable 5-51	2.7 mg/L
IGHV1-69	Immunoglobulin heavy variable 1-69	2.7 mg/L
QSOX1	Quiescin sulfhydryl oxidase 1	2.6 mg/L
IGHV1-3	Immunoglobulin heavy variable 1-3	2.6 mg/L
PTGDS	Prostaglandin D2 synthase	2.5 mg/L
IGHV4-28	Immunoglobulin heavy variable 4-28	2.5 mg/L
IGHV3-64D	Immunoglobulin heavy variable 3-64D	2.5 mg/L
ACTC1	Actin alpha cardiac muscle 1	2.4 mg/L
NCAM1	Neural cell adhesion molecule 1	2.3 mg/L
IGLV1-40	Immunoglobulin lambda variable 1-40	2.3 mg/L
ICAM1	Intercellular adhesion molecule 1	2.2 mg/L
JCHAIN	Joining chain of multimeric IgA and IgM	2.2 mg/L
APOF	Apolipoprotein F	2.2 mg/L
IGLV2-14	Immunoglobulin lambda variable 2-14	2.2 mg/L
IGHV3-20	Immunoglobulin heavy variable 3-20	2.2 mg/L
CNDP1	Carnosine dipeptidase 1	2.1 mg/L
C1QC	Complement C1q C chain	2.1 mg/L
B2M	Beta-2-microglobulin	2.1 mg/L
SERPINA5	Serpin family A member 5	2.1 mg/L
VASN	Vasorin	2.0 mg/L
IGLV3-10	Immunoglobulin lambda variable 3-10	2.0 mg/L
MCAM	Melanoma cell adhesion molecule	1.9 mg/L
EFEMP1	EGF containing fibulin extracellular matrix protein 1	1.9 mg/L
MASP1	Mannan binding lectin serine peptidase 1	1.9 mg/L
CFHR5	Complement factor H related 5	1.9 mg/L
MBL2	Mannose binding lectin 2	1.9 mg/L
KRT79	Keratin 79	1.9 mg/L
POTEF	POTE ankyrin domain family member F	1.9 mg/L
IGLV6-57	Immunoglobulin lambda variable 6-57	1.9 mg/L
IGKV1D-8	Immunoglobulin kappa variable 1D-8	1.9 mg/L
IGKV2D-40	Immunoglobulin kappa variable 2D-40	1.9 mg/L
LCP1	Lymphocyte cytosolic protein 1	1.8 mg/L
LPA	Lipoprotein(a)	1.8 mg/L
SELENOP	Selenoprotein P	1.8 mg/L
KRT8	Keratin 8	1.7 mg/L
KRT16	Keratin 16	1.7 mg/L
IGLV1-51	Immunoglobulin lambda variable 1-51	1.7 mg/L
TGFBI	Transforming growth factor beta induced	1.6 mg/L
DBH	Dopamine beta-hydroxylase	1.6 mg/L
ALCAM	Activated leukocyte cell adhesion molecule	1.6 mg/L
CD163	CD163 molecule	1.6 mg/L
CSF1R	Colony stimulating factor 1 receptor	1.6 mg/L
GP1BA	Glycoprotein Ib platelet subunit alpha	1.6 mg/L
KRT14	Keratin 14	1.6 mg/L
IGHV3-49	Immunoglobulin heavy variable 3-49	1.6 mg/L
LYZ	Lysozyme	1.5 mg/L
COMP	Cartilage oligomeric matrix protein	1.5 mg/L
TNXB	Tenascin XB	1.5 mg/L
KRT75	Keratin 75	1.5 mg/L
IGLV3-9	Immunoglobulin lambda variable 3-9	1.5 mg/L
IGKV2D-29	Immunoglobulin kappa variable 2D-29	1.5 mg/L
IGLV2-8	Immunoglobulin lambda variable 2-8	1.5 mg/L
GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	1.4 mg/L
F13A1	Coagulation factor XIII A chain	1.4 mg/L
THBS1	Thrombospondin 1	1.4 mg/L
HSPG2	Heparan sulfate proteoglycan 2	1.4 mg/L
FCN2	Ficolin 2	1.4 mg/L
F7	Coagulation factor VII	1.3 mg/L
PCOLCE	Procollagen C-endopeptidase enhancer	1.3 mg/L
LBP	Lipopolysaccharide binding protein	1.3 mg/L
KRT7	Keratin 7	1.3 mg/L
TLN1	Talin 1	1.3 mg/L
VCAM1	Vascular cell adhesion molecule 1	1.3 mg/L
PIGR	Polymeric immunoglobulin receptor	1.3 mg/L
CDH5	Cadherin 5	1.3 mg/L
CD44	CD44 molecule (Indian blood group)	1.2 mg/L
ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase 2	1.2 mg/L
GGH	Gamma-glutamyl hydrolase	1.2 mg/L
S100A9	S100 calcium binding protein A9	1.2 mg/L
ANPEP	Alanyl aminopeptidase, membrane	1.2 mg/L
IGF2	Insulin like growth factor 2	1.2 mg/L
KRT77	Keratin 77	1.2 mg/L
IGLV3-19	Immunoglobulin lambda variable 3-19	1.2 mg/L
IGHV1-69D	Immunoglobulin heavy variable 1-69D	1.2 mg/L
IGHV5-10-1	Immunoglobulin heavy variable 5-10-1	1.2 mg/L
C4BPB	Complement component 4 binding protein beta	1.1 mg/L
RNASE1	Ribonuclease A family member 1, pancreatic	1.1 mg/L
IGLV3-22	Immunoglobulin lambda variable 3-22	1.1 mg/L
IGHV1-69-2	Immunoglobulin heavy variable 1-69-2	1.1 mg/L
COL6A3	Collagen type VI alpha 3 chain	1.0 mg/L
IGKV2D-26	Immunoglobulin kappa variable 2D-26	1.0 mg/L
IGKV1D-17	Immunoglobulin kappa variable 1D-17	1.0 mg/L
PROCR	Protein C receptor	980 ug/L
VNN1	Vanin 1	980 ug/L
IGLV1-36	Immunoglobulin lambda variable 1-36	980 ug/L
IGLV2-11	Immunoglobulin lambda variable 2-11	980 ug/L
APOC4	Apolipoprotein C4	980 ug/L
IGHV6-1	Immunoglobulin heavy variable 6-1	930 ug/L
ADIPOQ	Adiponectin, C1Q and collagen domain containing	910 ug/L
PRSS2	Serine protease 2	890 ug/L
PEPD	Peptidase D	860 ug/L
IGLV3-12	Immunoglobulin lambda variable 3-12	850 ug/L
IGKV3-7	Immunoglobulin kappa variable 3-7 (non-functional)	850 ug/L
TNC	Tenascin C	840 ug/L
IGKV2-24	Immunoglobulin kappa variable 2-24	840 ug/L
ACTBL2	Actin beta like 2	830 ug/L
MASP2	Mannan binding lectin serine peptidase 2	820 ug/L
IGFBP2	Insulin like growth factor binding protein 2	810 ug/L
PRDX2	Peroxiredoxin 2	800 ug/L
HSPA5	Heat shock protein family A (Hsp70) member 5	790 ug/L
NRP1	Neuropilin 1	780 ug/L
CAT	Catalase	760 ug/L
VCL	Vinculin	750 ug/L
ICAM2	Intercellular adhesion molecule 2	730 ug/L
FLNA	Filamin A	730 ug/L
PVR	PVR cell adhesion molecule	720 ug/L
PLXDC2	Plexin domain containing 2	720 ug/L
IGLV3-27	Immunoglobulin lambda variable 3-27	720 ug/L
IGHV4-31	Immunoglobulin heavy variable 4-31	710 ug/L
PRSS3	Serine protease 3	700 ug/L
IGHV2-5	Immunoglobulin heavy variable 2-5	700 ug/L
KRT13	Keratin 13	680 ug/L
PTPRJ	Protein tyrosine phosphatase receptor type J	670 ug/L
PFN1	Profilin 1	660 ug/L
POSTN	Periostin	660 ug/L
PROZ	Protein Z, vitamin K dependent plasma glycoprotein	650 ug/L
ALDOA	Aldolase, fructose-bisphosphate A	640 ug/L
SPARCL1	SPARC like 1	630 ug/L
IGLV8-61	Immunoglobulin lambda variable 8-61	620 ug/L
KRT17	Keratin 17	610 ug/L
KRT4	Keratin 4	600 ug/L
LCN2	Lipocalin 2	590 ug/L
CA2	Carbonic anhydrase 2	570 ug/L
IGLV2-18	Immunoglobulin lambda variable 2-18	570 ug/L
GNPTG	N-acetylglucosamine-1-phosphate transferase subunit gamma	560 ug/L
LDHB	Lactate dehydrogenase B	560 ug/L
ALDOB	Aldolase, fructose-bisphosphate B	560 ug/L
IGHV7-4-1	Immunoglobulin heavy variable 7-4-1	560 ug/L
CRTAC1	Cartilage acidic protein 1	550 ug/L
CD93	CD93 molecule	550 ug/L
ABI3BP	ABI family member 3 binding protein	550 ug/L
IGLV2-23	Immunoglobulin lambda variable 2-23	540 ug/L
LAMP2	Lysosomal associated membrane protein 2	520 ug/L
TIMP1	TIMP metallopeptidase inhibitor 1	520 ug/L
PTPRG	Protein tyrosine phosphatase receptor type G	520 ug/L
FBN1	Fibrillin 1	520 ug/L
SELP	Selectin P	520 ug/L
MEGF8	Multiple EGF like domains 8	510 ug/L
SOD3	Superoxide dismutase 3	510 ug/L
THBS4	Thrombospondin 4	510 ug/L
PCYOX1	Prenylcysteine oxidase 1	510 ug/L
HEG1	Heart development protein with EGF like domains 1	510 ug/L
HBE1	Hemoglobin subunit epsilon 1	510 ug/L
SPP2	Secreted phosphoprotein 2	480 ug/L
KRT15	Keratin 15	480 ug/L
RARRES2	Retinoic acid receptor responder 2	460 ug/L
MAN1A1	Mannosidase alpha class 1A member 1	460 ug/L
CNTN1	Contactin 1	450 ug/L
KRT31	Keratin 31	440 ug/L
CRISP3	Cysteine rich secretory protein 3	420 ug/L
PPP1R9B	Protein phosphatase 1 regulatory subunit 9B	420 ug/L
PCSK9	Proprotein convertase subtilisin/kexin type 9	420 ug/L
MYH9	Myosin heavy chain 9	410 ug/L
IGFBP4	Insulin like growth factor binding protein 4	410 ug/L
DCD	Dermcidin	410 ug/L
ANG	Angiogenin	410 ug/L
NEO1	Neogenin 1	390 ug/L
ICAM3	Intercellular adhesion molecule 3	390 ug/L
CACNA2D1	Calcium voltage-gated channel auxiliary subunit alpha2delta 1	390 ug/L
PON3	Paraoxonase 3	380 ug/L
IGFBP5	Insulin like growth factor binding protein 5	380 ug/L
PLEK	Pleckstrin	380 ug/L
ROBO4	Roundabout guidance receptor 4	380 ug/L
NEGR1	Neuronal growth regulator 1	380 ug/L
IGHV1-45	Immunoglobulin heavy variable 1-45	380 ug/L
IGKV1D-43	Immunoglobulin kappa variable 1D-43	380 ug/L
BLVRB	Biliverdin reductase B	370 ug/L
MINPP1	Multiple inositol-polyphosphate phosphatase 1	370 ug/L
CTBS	Chitobiase	370 ug/L
CTSD	Cathepsin D	370 ug/L
S100A8	S100 calcium binding protein A8	370 ug/L
TPM4	Tropomyosin 4	370 ug/L
LAMP1	Lysosomal associated membrane protein 1	370 ug/L
IGKV1D-13	Immunoglobulin kappa variable 1D-13	370 ug/L
CETP	Cholesteryl ester transfer protein	360 ug/L
CD55	CD55 molecule (Cromer blood group)	360 ug/L
LTF	Lactotransferrin	350 ug/L
KRT33B	Keratin 33B	350 ug/L
IL1RAP	Interleukin 1 receptor accessory protein	350 ug/L
IGLV3-16	Immunoglobulin lambda variable 3-16	350 ug/L
IGF1	Insulin like growth factor 1	330 ug/L
HSP90B1	Heat shock protein 90 beta family member 1	330 ug/L
DPEP2	Dipeptidase 2	330 ug/L
YWHAZ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	320 ug/L
IGLV4-69	Immunoglobulin lambda variable 4-69	320 ug/L
PKM	Pyruvate kinase M1/2	310 ug/L
ENO1	Enolase 1	310 ug/L
KRT76	Keratin 76	310 ug/L
IGFBP6	Insulin like growth factor binding protein 6	300 ug/L
KRT24	Keratin 24	300 ug/L
KRT19	Keratin 19	300 ug/L
FLT4	Fms related receptor tyrosine kinase 4	290 ug/L
PLA2G7	Phospholipase A2 group VII	290 ug/L
CFL1	Cofilin 1	290 ug/L
COL18A1	Collagen type XVIII alpha 1 chain	290 ug/L
ENG	Endoglin	280 ug/L
KRT3	Keratin 3	280 ug/L
NAGLU	N-acetyl-alpha-glucosaminidase	270 ug/L
ITGB1	Integrin subunit beta 1	270 ug/L
TAGLN2	Transgelin 2	270 ug/L
GP5	Glycoprotein V platelet	270 ug/L
IGLV7-46	Immunoglobulin lambda variable 7-46	270 ug/L
IGHV7-81	Immunoglobulin heavy variable 7-81 (non-functional)	270 ug/L
HEPHL1	Hephaestin like 1	260 ug/L
LAMB1	Laminin subunit beta 1	250 ug/L
COL6A1	Collagen type VI alpha 1 chain	250 ug/L
IGKV6-21	Immunoglobulin kappa variable 6-21 (non-functional)	250 ug/L
AOC3	Amine oxidase copper containing 3	240 ug/L
CDH13	Cadherin 13	240 ug/L
FAM20C	FAM20C golgi associated secretory pathway kinase	240 ug/L
HLA-C	Major histocompatibility complex, class I, C	240 ug/L
RPS27A	Ribosomal protein S27a	230 ug/L
KRT80	Keratin 80	230 ug/L
SERPINA11	Serpin family A member 11	230 ug/L
PPIA	Peptidylprolyl isomerase A	230 ug/L
MMP2	Matrix metallopeptidase 2	220 ug/L
FAH	Fumarylacetoacetate hydrolase	220 ug/L
CR2	Complement C3d receptor 2	220 ug/L
CADM1	Cell adhesion molecule 1	220 ug/L
KRT35	Keratin 35	220 ug/L
ACTN1	Actinin alpha 1	210 ug/L
PLTP	Phospholipid transfer protein	210 ug/L
KRT32	Keratin 32	210 ug/L
PRAP1	Proline rich acidic protein 1	210 ug/L
CALR	Calreticulin	210 ug/L
OLFM1	Olfactomedin 1	200 ug/L
MMRN1	Multimerin 1	200 ug/L
PDIA3	Protein disulfide isomerase family A member 3	200 ug/L
RNASE2	Ribonuclease A family member 2	200 ug/L
CDHR5	Cadherin related family member 5	190 ug/L
BST1	Bone marrow stromal cell antigen 1	190 ug/L
PEBP4	Phosphatidylethanolamine binding protein 4	190 ug/L
IGFBP7	Insulin like growth factor binding protein 7	190 ug/L
IGF2R	Insulin like growth factor 2 receptor	190 ug/L
DPP4	Dipeptidyl peptidase 4	190 ug/L
IGHV2-26	Immunoglobulin heavy variable 2-26	190 ug/L
HLA-B	Major histocompatibility complex, class I, B	190 ug/L
SELE	Selectin E	180 ug/L
NECTIN1	Nectin cell adhesion molecule 1	180 ug/L
LRP1	LDL receptor related protein 1	180 ug/L
KRT36	Keratin 36	180 ug/L
CHI3L1	Chitinase 3 like 1	180 ug/L
CD109	CD109 molecule	180 ug/L
ZYX	Zyxin	180 ug/L
HRNR	Hornerin	180 ug/L
FTL	Ferritin light chain	170 ug/L
PGK1	Phosphoglycerate kinase 1	170 ug/L
CKM	Creatine kinase, M-type	170 ug/L
OGN	Osteoglycin	170 ug/L
TPI1	Triosephosphate isomerase 1	170 ug/L
GFAP	Glial fibrillary acidic protein	170 ug/L
KRT34	Keratin 34	170 ug/L
LDHA	Lactate dehydrogenase A	170 ug/L
CFHR4	Complement factor H related 4	170 ug/L
TPM3	Tropomyosin 3	170 ug/L
CNTN4	Contactin 4	170 ug/L
ACE	Angiotensin I converting enzyme	170 ug/L
RPL8	Ribosomal protein L8	170 ug/L
SLC3A2	Solute carrier family 3 member 2	170 ug/L
CYCS	Cytochrome c, somatic	170 ug/L
TUBB	Tubulin beta class I	170 ug/L
ADAMTSL2	ADAMTS like 2	170 ug/L
HLA-A	Major histocompatibility complex, class I, A	170 ug/L
MRC1	Mannose receptor C-type 1	170 ug/L
IGHV2-70	Immunoglobulin heavy variable 2-70	170 ug/L
KRT33A	Keratin 33A	160 ug/L
ATRNL1	Attractin like 1	160 ug/L
NOTCH2	Notch receptor 2	160 ug/L
IL6ST	Interleukin 6 signal transducer	160 ug/L
PTPRF	Protein tyrosine phosphatase receptor type F	160 ug/L
FERMT3	Fermitin family member 3	160 ug/L
SVEP1	Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	160 ug/L
TUBA1C	Tubulin alpha 1c	160 ug/L
KRT86	Keratin 86	160 ug/L
CDH2	Cadherin 2	160 ug/L
KRT38	Keratin 38	160 ug/L
IGLV5-45	Immunoglobulin lambda variable 5-45	160 ug/L
AFP	Alpha fetoprotein	150 ug/L
PTPRS	Protein tyrosine phosphatase receptor type S	150 ug/L
ALDOC	Aldolase, fructose-bisphosphate C	150 ug/L
NID1	Nidogen 1	150 ug/L
TKT	Transketolase	150 ug/L
LSAMP	Limbic system associated membrane protein	150 ug/L
DSG2	Desmoglein 2	140 ug/L
H6PD	Hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	140 ug/L
HSPA8	Heat shock protein family A (Hsp70) member 8	140 ug/L
KRT18	Keratin 18	140 ug/L
MB	Myoglobin	140 ug/L
TPM2	Tropomyosin 2	140 ug/L
LILRA2	Leukocyte immunoglobulin like receptor A2	140 ug/L
CEACAM1	CEA cell adhesion molecule 1	130 ug/L
APMAP	Adipocyte plasma membrane associated protein	130 ug/L
SPARC	Secreted protein acidic and cysteine rich	130 ug/L
CNTN3	Contactin 3	130 ug/L
COLEC11	Collectin subfamily member 11	130 ug/L
TUBA4A	Tubulin alpha 4a	130 ug/L
ISLR	Immunoglobulin superfamily containing leucine rich repeat	130 ug/L
DSG1	Desmoglein 1	130 ug/L
MSN	Moesin	130 ug/L
HYOU1	Hypoxia up-regulated 1	130 ug/L
ICOSLG	Inducible T cell costimulator ligand	130 ug/L
KRT74	Keratin 74	130 ug/L
KRT83	Keratin 83	130 ug/L
PTPRM	Protein tyrosine phosphatase receptor type M	130 ug/L
SIRPA	Signal regulatory protein alpha	130 ug/L
KRT81	Keratin 81	130 ug/L
